waterpoint_id,district,risk,population_served,crew_days,priority
WP-005888,Bikaner,0.8334028249424702,1021,0.975,26830.975708186623
WP-005364,Udaipur,0.9004675908402517,634,0.6307692307692307,20324.470684449687
WP-010994,Banswara,0.7662313640180206,586,0.9826923076923078,17271.568694729925
WP-008446,Nagaur,0.9833430994774155,412,0.9019230769230768,12501.934153925331
WP-009097,Jaisalmer,0.528198892993156,701,0.9086538461538461,12025.847095671346
WP-003798,Barmer,0.9217009712607727,441,0.7538461538461538,11685.435517760628
WP-008607,Jodhpur,0.8786968701700599,333,0.6903846153846154,9754.882822533462
WP-010312,Barmer,0.7711041781446305,325,1.1192307692307693,9341.595887905125
WP-006446,Bhilwara,0.9701685286521948,319,0.7201923076923077,8783.554058987891
WP-000781,Udaipur,0.8101007769560719,371,0.9846153846153846,8392.97365901853
WP-003472,Ajmer,0.9599643541173964,316,1.1163461538461537,8354.177155904452
WP-003676,Churu,0.7742843101105434,281,0.7528846153846154,8140.1867436627235
WP-004848,Jaisalmer,0.9830555759294237,220,1.1403846153846153,8082.060288168081
WP-001530,Banswara,0.681167946809449,786,0.6557692307692308,7909.696949193411
WP-007977,Barmer,0.5431308722655657,406,0.5019230769230769,7799.031033295175
